cursive_script_name,num
Ae_salang,99
Ae_seulpeul,65
Ag_aghal,114
An_pyeonan,124
A_ai,65
A_uisimhal,12
Baek_huin,101
Bal_pil,76
Bang_hemel,12
Bang_mageul,30
Bang_mo,28
Bang_nara,24
Bang_noeul,36
Ban_dorikil,52
Ban_duduk,21
Ban_gaji,50
Beom_beomhal,31
Beom_mureut,24
Bin_jaju,26
Bin_son,23
Bi_anil,110
Bi_nal,87
Bok_bae,29
Bong_batdeul,109
Bong_bonghal,64
Bo_keul,16
Buk_buknyeok,65
Bul_bucheo,52
Bun_dalril,26
Bun_eojireoul,43
Bun_nanul,103
Bu_anil,330
Bu_buse,38
Bu_dadareul,26
Bu_ddeul,67
Bu_eondeok,20
Bu_janggun,12
Bu_maeul,66
Bu_seuseung,37
Byeol_nanul,67
Byeong_aureul,45
Byeong_narani,35
Byeon_bunbyeolhal,58
Byeon_ga,68
Chae_pungchae,54
Chag_jabeul,24
Chag_ttulheul,36
Cham_chamyeohal,93
Chang_changseonghal,62
Chang_gosjib,49
Cha_beogeum,88
Cha_billil,33
Cha_daleul,131
Cha_sure,55
Cha_tto,76
Cheob_butil,17
Cheob_pyeonji,35
Cheob_yeomtamhal,21
Cheog_geunsimhal,33
Cheog_healil,50
Cheom_deohal,64
Cheom_ileul,30
Cheon_cheonhal,47
Cheon_saem,63
Cheon_yateul,39
Cheo_gos,134
Che_mom,124
Chig_beobchig,125
Chil_ilgob,62
Chim_chimnohal,28
Ching_ilkeoleul,72
Chin_chinhal,113
Chi_bukkeuleoul,47
Chi_i,43
Choe_gajang,126
Chong_habhal,60
Chon_madi,55
Chon_maeul,47
Cho_cheoeum,81
Cho_pul,140
Chug_jjocheul,63
Chung_chaeul,60
Chun_bom,109
Chu_chunala,10
Chu_jjocheul,54
Chu_mil,76
Chwi_chwihal,64
Chwi_gajil,204
Chwi_naagal,92
Dae_daehal,91
Dae_daesinhal,51
Dae_il,16
Dal_tongdalhal,38
Dam_goel,22
Dang_jip,71
Dang_mattang,129
Dang_muri,31
Dan_bulgeul,57
Dan_cheunggye,37
Dan_jjalbeul,51
Dan_kkeut,49
Da_cha,12
Da_maneul,95
Deuk_eodeul,176
Deung_muri,74
Deung_oreul,64
Dong_dongnyeok,108
Dong_hangaji,116
Don_dotaul,32
Do_dodul,26
Do_doeup,87
Do_gil,131
Do_ireul,65
Do_kal,18
Du_meori,109
Eeom_eomhal,116
Eeom_mundeug,59
Eeon_malsseum,176
Eeo_eojosa,205
Eeo_malbulil,13
Eeub_goeul,76
Eeul_sae,17
Eeun_seonghal,51
Gaek_son,49
